company_name,job_title,role_category,job_description,responsibilities,required_qualifications,preferred_qualifications,skills,deadline
(주) 피두키아,"임베디드 펌웨어 개발자 ",Developer,"담당 업무
• MCU 펌웨어 개발
• UART / SPI / I2C / BLE 등 통신 프로토콜 구현
• 데이터 수집 → 필터링 → 장비 제어 로직 작성
• 장비 테스트 및 반복 개선
우대 조건
C / C++ 기반 임베디드 개발 가능 또는 학습 경험
MCU·센서·통신 동작 방식 이해 (Arduino·졸작·동아리 경험 인정)
실물 테스트·디버깅·반복 개선 프로세스를 즐기는 사람

STM32 HAL 경험 / RTOS 경험 / BLE 통신 경험
DIY·로봇·IoT·드론 등 펌웨어 기반 제작 경험
간단한 회로/PCB 이해 가능자
GitHub와 같은 오픈소스에 직접 개발한 코드 공유 또는 이런 오픈소스 기반 펌웨어 분석, 포팅, 수정 경험
ChatGPT, Copilot 등과 같은 LLM을 활용해 디버깅/코드 리뷰/레지스터 분석 해본 사람
""스스로 찾고 해결하는 타입""을 더 높게 평가합니다
근무지
경기 성남시 중원구 사기막골로45번길 14 성남 우림 라이온스밸리

지도

복사
경력
신입 / 경력자
학력
대학교졸업(4년)이상
지원 가능한 비자
E-7 특정활동
D-10 구직
한국어 수준

기초 회화 가능
언어 수준

영어
기초 회화 가능","• MCU 펌웨어 개발
• UART / SPI / I2C / BLE 등 통신 프로토콜 구현
• 데이터 수집 → 필터링 → 장비 제어 로직 작성
• 장비 테스트 및 반복 개선",,"C / C++ 기반 임베디드 개발 가능 또는 학습 경험
MCU·센서·통신 동작 방식 이해 (Arduino·졸작·동아리 경험 인정)
실물 테스트·디버깅·반복 개선 프로세스를 즐기는 사람

STM32 HAL 경험 / RTOS 경험 / BLE 통신 경험
DIY·로봇·IoT·드론 등 펌웨어 기반 제작 경험
간단한 회로/PCB 이해 가능자
GitHub와 같은 오픈소스에 직접 개발한 코드 공유 또는 이런 오픈소스 기반 펌웨어 분석, 포팅, 수정 경험
ChatGPT, Copilot 등과 같은 LLM을 활용해 디버깅/코드 리뷰/레지스터 분석 해본 사람
""스스로 찾고 해결하는 타입""을 더 높게 평가합니다","C / C++ 기반 임베디드 개발 
MCU·센서·통신 동작 방식 이해
GitHub
",2026-01-12
엘브이아이에스코리아(주),AI Healthcare - 프론트엔드 개발자,Developer,"담당 업무
- 의료 소프트웨어를 위한 3차원 시각화 기반의 웹 사용자 인터페이스를 구현합니다.
- 신경과학 응용 분야에서 최신 연구 결과와 알고리즘을 수학적 모델로 구현합니다.
- 최적의 하드웨어 자원 활용을 통한 고성능 데이터 시각화 기능을 구현합니다.
- 웹 기반 소프트웨어 제품의 일반 사용자 인터페이스(UI)를 구현합니다.
자격 요건
• 해당직무 근무경험, 외국인 지원 가능
• 컴퓨터/시스템공학, 공학계열
복지 및 혜택
• 연차, 경조휴가제, 반차, 근로자의날 휴무, 공휴일 휴무, 상여금, 스톡옵션, 퇴직금, 각종 경조사 지원, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 생일선물/파티, 산전 후 휴가, 육아휴직, 휴게실, 회의실, 공기청정기, 장애인 화장실, 자유복장, 간식 제공, 음료제공(차,커피), 노트북, 4대 보험, 생일자 조기퇴근, 최고 성능 컴퓨터, 자유로운 연차사용, 님/닉네임 문화, 출산 장려, 반려동물 동반출근, 주 52시간제 준수, 자율 근무제
근무지
서울 서초구 서초대로56길 15 디앤비빌딩
경력: 경력자
학력: 대학교졸업(4년)이상
지원 가능한 비자: 확인필요
한국어 수준: 일상 대화 가능","- 의료 소프트웨어를 위한 3차원 시각화 기반의 웹 사용자 인터페이스를 구현합니다.
- 신경과학 응용 분야에서 최신 연구 결과와 알고리즘을 수학적 모델로 구현합니다.
- 최적의 하드웨어 자원 활용을 통한 고성능 데이터 시각화 기능을 구현합니다.
- 웹 기반 소프트웨어 제품의 일반 사용자 인터페이스(UI)를 구현합니다.","해당직무 근무경험, 외국인 지원 가능
• 컴퓨터/시스템공학, 공학계열",,,채용시 마감
엘브이아이에스코리아(주),AI Healthcare - 백엔드 개발자,Developer,"담당 업무
• 데이터 업로드 신호 처리 저장 등을 포함한 클라우드 서비스용 데이터 처리 파이프라인
• 계정 관리 청구 결제 등 백엔드 관리 서비스 설계 및 구현
• 국가/지역 간 클라우드 통신
• 클라우드 서비스 안정성 및 성능 최적화
자격 요건
• 해당직무 근무경험, 외국인 지원 가능
• 컴퓨터/시스템공학, 공학계열
복지 및 혜택
• 연차, 경조휴가제, 반차, 근로자의날 휴무, 공휴일 휴무, 상여금, 스톡옵션, 퇴직금, 각종 경조사 지원, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 생일선물/파티, 산전 후 휴가, 육아휴직, 휴게실, 회의실, 공기청정기, 장애인 화장실, 자유복장, 간식 제공, 음료제공(차,커피), 탄력근무제, 노트북, 4대 보험, 생일자 조기퇴근, 최고 성능 컴퓨터, 자유로운 연차사용, 님/닉네임 문화, 출산 장려, 반려동물 동반출근, 주 52시간제 준수
근무지
서울 서초구 서초대로56길 15 디앤비빌딩
경력: 경력자
학력: 학력무관
지원 가능한 비자: 확인필요
한국어 수준: 일상 대화 가능
언어 수준: 영어 비즈니스 회화 가능","• 데이터 업로드 신호 처리 저장 등을 포함한 클라우드 서비스용 데이터 처리 파이프라인
• 계정 관리 청구 결제 등 백엔드 관리 서비스 설계 및 구현
• 국가/지역 간 클라우드 통신
• 클라우드 서비스 안정성 및 성능 최적화","• 해당직무 근무경험, 외국인 지원 가능
• 컴퓨터/시스템공학, 공학계열",,,2026-01-17
"주식회사엠케이디(MKDCo.,Ltd)",주식회사 엠케이디 파이썬(Python) 개발자,Developer,"담당 업무
• Python 기반 웹/앱 어플리케이션 개발 (Flask, Django, FastAPI)
• 시스템 통합 및 최적화 작업을 지원합니다.
• 기존 파이썬 알고리즘을 기반으로한 상용 서비스 개발을 담당합니다.
자격 요건
• 경력 무관 (신입 지원 가능)
• 관련 전공 대학교졸업(4년)이상, 졸업 예정자 지원가능
• 영어로 원할한 커뮤니케이션 가능
우대 조건
• FastAPI 프레임워크 경험자 우대
복지 및 혜택
• 유연 근무제(수습 3개월 후)
• 중식 제공
근무지
부산 남구 전포대로 133
경력: 무관
학력: 대학교졸업(4년)이상
지원 가능한 비자: D-10 구직/ E-7 특정활동/ F-2 거주
한국어 수준: 일상 대화 가능
언어 수준: 영어 비즈니스 회화 가능","• Python 기반 웹/앱 어플리케이션 개발 (Flask, Django, FastAPI)
• 시스템 통합 및 최적화 작업을 지원합니다.
• 기존 파이썬 알고리즘을 기반으로한 상용 서비스 개발을 담당합니다.","• 경력 무관 (신입 지원 가능)
• 관련 전공 대학교졸업(4년)이상, 졸업 예정자 지원가능
• 영어로 원할한 커뮤니케이션 가능",FastAPI 프레임워크 경험자 우대,,채용시 마감
엔플루언서,개발이 좋은 백엔드 개발자,Developer,"담당 업무
• 샤라웃 플랫폼 백엔드 개발
• 샤라웃 플랫폼 유지운영 백엔드 개발
• 샤라웃 DB 관리 및 프로세스 개선
우대 조건
• 플랫폼 업계 경력이 있으신 분
• 초기 스타트업 환경에서 자기주도적으로 문제를 해결하고 업무를 지향하시는 분
• 새로운 기술을 탐구하는 열정이 있으신 분
• 인플루언서 마케팅에 대한 이해도가 있으신 분
복지 및 혜택
• 연차, 여름휴가, 반차, Refresh휴가, 공휴일 휴무, 인센티브제, 퇴직금, 성과급, 명절선물/귀향비, 생일선물/파티, 휴게실, 수면실, 회의실, 공기청정기, 자유복장, 식비 지원, 스마트기기, 노트북, 4대 보험, 사무용품 지급, 최고 성능 컴퓨터, 내일채움공제, 비자 발급 지원
근무지
대구 달성군 화원읍 성천로 5 달성청년혁신센터
경력: 무관
학력: 학력무관
지원 가능한 비자: D-10 구직
한국어 수준: TOPIK 5등급/ 비즈니스 회화 가능","• 샤라웃 플랫폼 백엔드 개발
• 샤라웃 플랫폼 유지운영 백엔드 개발
• 샤라웃 DB 관리 및 프로세스 개선",,"• 플랫폼 업계 경력이 있으신 분
• 초기 스타트업 환경에서 자기주도적으로 문제를 해결하고 업무를 지향하시는 분
• 새로운 기술을 탐구하는 열정이 있으신 분
• 인플루언서 마케팅에 대한 이해도가 있으신 분",,2026-02-08
코딩쏙학원,관평 코딩쏙학원 코딩 교육 전문 개발자,Developer,"담당 업무
• 코딩 교육 커리큘럼 개발 및 운영해요
• 학생 학습 진도 관리 및 피드백 제공해요
• 교육 자료 및 콘텐츠 제작해요
• 학생의 프로젝트 진행 지도해요
• 학습 성과 분석 및 개선 방안 제안해요
자격 요건
• 코딩 교육에 대한 열정이 있어야 해요
• 프로그래밍 언어에 대한 이해도가 필요해요
• 학생과의 소통 능력이 중요해요
• 문제 해결 능력을 보유해야 해요
• 팀워크를 잘 이끌어낼 수 있어야 해요
우대 조건
• 교육 관련 경험 보유자 우대해요
• 다양한 프로그래밍 언어 경험자 환영해요
• 온라인 교육 플랫폼 경험자 선호해요
• 프로젝트 관리 경험이 있으면 좋아요
• 교육 관련 자격증 소지자 우대해요
복지 및 혜택
• 유연한 근무 시간 제공해요
• 직원 교육비 지원해요
• 건강 검진 지원해요
• 연차 및 휴가 제도 운영해요
• 사내 동호회 활동 지원해요
근무지
대전 유성구 테크노중앙로 32 대덕테크노벨리
경력: 무관
학력: 대학졸업(2,3년)이상
지원 가능한 비자: D-10 구직
한국어 수준: 기초 회화 가능
언어 수준: 영어/일상 대화 가능","• 코딩 교육 커리큘럼 개발 및 운영해요
• 학생 학습 진도 관리 및 피드백 제공해요
• 교육 자료 및 콘텐츠 제작해요
• 학생의 프로젝트 진행 지도해요
• 학습 성과 분석 및 개선 방안 제안해요","• 코딩 교육에 대한 열정이 있어야 해요
• 프로그래밍 언어에 대한 이해도가 필요해요
• 학생과의 소통 능력이 중요해요
• 문제 해결 능력을 보유해야 해요
• 팀워크를 잘 이끌어낼 수 있어야 해요","• 교육 관련 경험 보유자 우대해요
• 다양한 프로그래밍 언어 경험자 환영해요
• 온라인 교육 플랫폼 경험자 선호해요
• 프로젝트 관리 경험이 있으면 좋아요
• 교육 관련 자격증 소지자 우대해요",,채용시 마감
알케이소프트,외국계기업/개발자 출신 PM,Developer,"담당 업무
• 프로젝트 전 과정(입찰, 요구사항 분석, 문서화, 실행)에 참여
• 비즈니스 요구사항 분석 및 관리, 소요 공수·범위·일정 추정 지원, 프로젝트 관리 활동 보조
• PRD, FRD, 사용자 스토리, 워크플로우 등 문서를 작성·유지하며 개발팀에 명확히 요구사항 전달
• 기술기획 및 개발 방향설계
자격 요건
• 1년 이상 IT 프로젝트에서 PM 역할 수행
• 요구사항 분석, 문서화, 프로세스 모델링 역량
• 공수·범위·일정 추정 및 프로젝트 계획 지원 능력
• 고객, PM, 개발자, QA팀과의 원활한 협업 경력
• 개발자 경력 필수
우대 조건
• SI 프로젝트 관리 경험자 우대합니다
• 다양한 개발 언어에 대한 이해
• 팀 리딩 경험 있는 분 환영합니다
• IT 아웃소싱 경험 가진 분 우대합니다
• 해외 프로젝트 관리 경험자 우대합니다
• AI 분야 경험

언어관련 우대사항
• 한국인일시 영어 소통 가능
• 베트남인일 시 한국어 유창
복지 및 혜택
면접 후 논의
근무지
서울 강남구 테헤란로77길 11-15, 11층
경력: 경력자
학력: 대학졸업(2,3년)이상
지원 가능한 비자: D-2 유학/ D-10 구직/ D-4 일반연/ E-7 특정활동/ F-2 거주/ F-4 재외동포/ F-5 영주/ F-6 결혼이민/ H-1 관광취업/ H-2 방문취업/ C-4 단기취업
한국어 수준: 비즈니스 회화 가능","• 프로젝트 전 과정(입찰, 요구사항 분석, 문서화, 실행)에 참여
• 비즈니스 요구사항 분석 및 관리, 소요 공수·범위·일정 추정 지원, 프로젝트 관리 활동 보조
• PRD, FRD, 사용자 스토리, 워크플로우 등 문서를 작성·유지하며 개발팀에 명확히 요구사항 전달
• 기술기획 및 개발 방향설계","• 1년 이상 IT 프로젝트에서 PM 역할 수행
• 요구사항 분석, 문서화, 프로세스 모델링 역량
• 공수·범위·일정 추정 및 프로젝트 계획 지원 능력
• 고객, PM, 개발자, QA팀과의 원활한 협업 경력
• 개발자 경력 필수","• SI 프로젝트 관리 경험자 우대합니다
• 다양한 개발 언어에 대한 이해
• 팀 리딩 경험 있는 분 환영합니다
• IT 아웃소싱 경험 가진 분 우대합니다
• 해외 프로젝트 관리 경험자 우대합니다
• AI 분야 경험

언어관련 우대사항
• 한국인일시 영어 소통 가능
• 베트남인일 시 한국어 유창",,채용시 마감
주토스(주),머신 비전 응용 프로그램 개발자,Developer,"담당 업무
** Windows 기반 머신 비전 응용 프로그램 개발 **
- 머신 비전 솔루션 설계 및 개발 : Windows 기반 머신 비전 응용 프로그램 아키텍처 설계 및 개발 (C#, C++, .NET)
- 하드웨어 연동 및 제어 : 산업용 카메라(Area/Line Scan), 조명, 렌즈 등 비전 시스템 하드웨어 제어 및 영상 획득(Image Acquisition) 기능 개발, 모션컨트롤러 등 외부 장비와의 통신 및 시스템 연동
- UI/UX 개발 및 데이터 관리 : 검사 결과, 통계 데이터 등을 시각화하기 위한 사용자 인터페이스(UI/UX) 개발 (WPF)
- 시스템 안정화 및 유지보수 : 개발 솔루션의 성능 테스트, 안정화 및 현장 이슈 대응
우대 조건
• 영어가능자, 인근거주자, 해당직무 근무경험, 석사학위 수여자, 박사학위 수여자, 외국인 지원 가능
• 전기/전자공학, 컴퓨터/시스템공학, 수학/통계학
복지 및 혜택
• 워크샵, 연차, 여름휴가, 경조휴가제, 반차, 근로자의날 휴무, 포상휴가, 공휴일 휴무, 인센티브제, 장기근속자 포상, 퇴직금, 건강검진, 금연수당, 직원대출제도, 점심식사 제공, 저녁식사 제공, 각종 경조사 지원, 장기근속수당, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 명절선물/귀향비, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가, 회의실, 공기청정기, 자유복장, 음료제공(차,커피), 탄력근무제, 업무활동비 지급, 선택적복리후생, 4대 보험, 사무용품 지급, 최고 성능 컴퓨터, 안마실/안마의자, 자유로운 연차사용, 주 40시간제 시행, 장기근속 선물, 내일채움공제
근무지
경기 안양시 동안구 엘에스로116번길 118 안양2차 SK V1 center 401~407호
경력: 신입 / 경력자
학력: 대학교졸업(4년)이상
지원 가능한 비자: E-7 특정활동/ F-2 거주
한국어 수준: 기초 회화 가능
언어 수준: 영어/비즈니스 회화 가능","** Windows 기반 머신 비전 응용 프로그램 개발 **
- 머신 비전 솔루션 설계 및 개발 : Windows 기반 머신 비전 응용 프로그램 아키텍처 설계 및 개발 (C#, C++, .NET)
- 하드웨어 연동 및 제어 : 산업용 카메라(Area/Line Scan), 조명, 렌즈 등 비전 시스템 하드웨어 제어 및 영상 획득(Image Acquisition) 기능 개발, 모션컨트롤러 등 외부 장비와의 통신 및 시스템 연동
- UI/UX 개발 및 데이터 관리 : 검사 결과, 통계 데이터 등을 시각화하기 위한 사용자 인터페이스(UI/UX) 개발 (WPF)
- 시스템 안정화 및 유지보수 : 개발 솔루션의 성능 테스트, 안정화 및 현장 이슈 대응",,"• 영어가능자, 인근거주자, 해당직무 근무경험, 석사학위 수여자, 박사학위 수여자, 외국인 지원 가능
• 전기/전자공학, 컴퓨터/시스템공학, 수학/통계학",,2026-02-25
주식회사 워크포트,[중국인]소프트웨어 개발자,Developer,"담당 업무
• PLC 프로그램개발 및 설계
• 설계 바탕으로 하드웨어 제작 진행
• 조명 프로그램 개발 및 운영
자격 요건
• 관련분야 전공자
• 한국어 능통자
• 중국어 능통자
우대 조건
• SW코딩 자격증
• C++ 언어 관련 자격증
• 운전면허증 (차량제공)
복지 및 혜택
• 4대 보험 가입 (국민연금, 고용보험, 건강보험, 산재보험)
• 차량 제공 (면허증 보유시)
• 기숙사 제공
• 통근 버스 제공
• 연차 제도 및 사내 기타 복지 제도
근무지
경기 성남시 수정구 위례광장로 41
경력: 무관
학력: 대학교졸업(4년)이상
지원 가능한 비자: D-10 구직/ E-7 특정활동/ F-2 거주/ F-4 재외동포/ F-5 영주/ F-6 결혼이민/ 확인필요
한국어 수준: 일상 대화 가능","• PLC 프로그램개발 및 설계
• 설계 바탕으로 하드웨어 제작 진행
• 조명 프로그램 개발 및 운영","• 관련분야 전공자
• 한국어 능통자
• 중국어 능통자","• SW코딩 자격증
• C++ 언어 관련 자격증
• 운전면허증 (차량제공)",,2026-01-12
주식회사 워크포트,소프트웨어 개발자 채용,Developer,"담당 업무
• 스마트카메라 소프트웨어 개발 및 유지관리
• 신규 기능 설계 및 기존 시스템 개선 수행
• 고객 요구사항 분석 및 기술지원 제공
• 제품의 성능 최적화 및 문제해결을 위한 연구진행
자격 요건
• 소프트웨어 / 컴퓨터 / 시스템공학 등 관련 전공자
• C/C++/C# 활용 가능자
• 한국어 기본 회화 가능자
우대 조건
• 기술문서 작성 및 커뮤니케이션 능력이 뛰어난 분
• 팀워크와 협업 능력 우수자
• 영어 가능자
복지 및 혜택
- 4대 보험 가입 (건강보험, 국민연금, 산재보험, 고용보험)
- 경조휴가, 육아휴직 및 연차제도 제공
- 사내 기타 복리 제도 지원
근무지
경기 성남시 수정구 위례광장로 41

경력: 무관
학력: 대학교졸업(4년)이상
지원 가능한 비자: D-10 구직/ E-7 특정활동/ F-2 거주/F-4 재외동포/F-5 영주/F-6 결혼이민/확인필요
한국어 수준: 일상 대화 가능","• 스마트카메라 소프트웨어 개발 및 유지관리
• 신규 기능 설계 및 기존 시스템 개선 수행
• 고객 요구사항 분석 및 기술지원 제공
• 제품의 성능 최적화 및 문제해결을 위한 연구진행","• 소프트웨어 / 컴퓨터 / 시스템공학 등 관련 전공자
• C/C++/C# 활용 가능자
• 한국어 기본 회화 가능자","• 기술문서 작성 및 커뮤니케이션 능력이 뛰어난 분
• 팀워크와 협업 능력 우수자
• 영어 가능자",,2026-01-23
